DATE;DTB3
27/10/2017;1.08
30/10/2017;1.10
02/11/2017;1.15
03/11/2017;1.16
06/11/2017;1.17
07/11/2017;1.20
08/11/2017;1.21
09/11/2017;1.22
10/11/2017;1.21
13/11/2017;1.22
14/11/2017;1.24
15/11/2017;1.23
16/11/2017;1.25
17/11/2017;1.26
20/11/2017;1.28
21/11/2017;1.28
22/11/2017;1.27
24/11/2017;1.26
27/11/2017;1.25
28/11/2017;1.28
29/11/2017;1.27
30/11/2017;1.25
01/12/2017;1.25
04/12/2017;1.28
06/12/2017;1.28
07/12/2017;1.27
11/12/2017;1.31
12/12/2017;1.32
13/12/2017;1.28
14/12/2017;1.30
15/12/2017;1.29
18/12/2017;1.36
19/12/2017;1.35
20/12/2017;1.36
21/12/2017;1.33
22/12/2017;1.31
27/12/2017;1.42
28/12/2017;1.37
29/12/2017;1.37
05/01/2018;1.37
09/01/2018;1.42
10/01/2018;1.40
12/01/2018;1.41
16/01/2018;1.43
18/01/2018;1.43
19/01/2018;1.42
24/01/2018;1.41
25/01/2018;1.40
26/01/2018;1.39
29/01/2018;1.43
30/01/2018;1.42
31/01/2018;1.44
01/02/2018;1.46
02/02/2018;1.46
05/02/2018;1.49
07/02/2018;1.53
08/02/2018;1.53
09/02/2018;1.53
12/02/2018;1.61
13/02/2018;1.57
14/02/2018;1.56
15/02/2018;1.56
16/02/2018;1.59
20/02/2018;1.64
21/02/2018;1.62
22/02/2018;1.61
23/02/2018;1.61
26/02/2018;1.65
27/02/2018;1.64
28/02/2018;1.63
01/03/2018;1.60
02/03/2018;1.62
05/03/2018;1.67
06/03/2018;1.65
07/03/2018;1.65
08/03/2018;1.64
09/03/2018;1.64
12/03/2018;1.68
13/03/2018;1.70
14/03/2018;1.73
15/03/2018;1.74
16/03/2018;1.75
19/03/2018;1.77
20/03/2018;1.78
21/03/2018;1.71
22/03/2018;1.69
23/03/2018;1.71
26/03/2018;1.76
27/03/2018;1.74
28/03/2018;1.70
29/03/2018;1.70
03/04/2018;1.72
04/04/2018;1.68
05/04/2018;1.69
06/04/2018;1.70
09/04/2018;1.73
10/04/2018;1.71
11/04/2018;1.70
12/04/2018;1.72
13/04/2018;1.73
16/04/2018;1.76
17/04/2018;1.77
18/04/2018;1.78
19/04/2018;1.79
20/04/2018;1.78
24/04/2018;1.84
25/04/2018;1.82
26/04/2018;1.79
